site,birthyear,dct_dist,race
HUM,1989,678.628347610999,aawhite
HUM,1986,873.249585787432,aawhite
HUM,1976,592.488897665135,aawhite
HUM,1990,751.059820840452,redacted
HUM,1985,336.281692118326,aawhite
HUM,1991,679.827524659885,aawhite
HUM,1940,543.62479011733,aawhite
HUM,1988,391.200266042099,abi
HUM,1990,546.290892688678,aawhite
HUM,1967,309.343527243414,redacted
HUM,1978,279.15679542668,aawhite
HUM,1969,718.191028658535,redacted
HUM,1943,181.111950741993,aawhite
HUM,1983,955.768572243932,aawhite
HUM,1986,582.132151318733,aawhite
HUM,1947,566.193394228514,aawhite
HUM,1944,1051.55745777169,aawhite
HUM,1954,880.855936244339,aawhite
HUM,1981,347.409955652818,aawhite
HUM,1961,756.100512294918,redacted
HUM,1981,711.950417521688,redacted
HUM,1959,665.681320064256,aawhite
HUM,1988,403.200276290165,aawhite
HUM,1991,218.386579718096,aawhite
HUM,1960,902.10296698536,aawhite
HUM,1994,587.587413205573,redacted
HUM,1982,411.483143434779,aawhite
HUM,1986,728.107263539108,redacted
HUM,1964,288.432271065409,aawhite
HUM,1932,1468.80336663998,abi
HUM,1946,518.67889791257,aawhite
HUM,1990,225.106082121477,aawhite
HUM,1961,370.375444677929,redacted
HUM,1980,615.981749339922,aawhite
HUM,1952,1829.43620035094,abi
HUM,1981,206.563080408493,aawhite
HUM,1956,1284.87231813315,aawhite
HUM,1946,708.445771487657,aawhite
HUM,1956,790.155912395078,aawhite
HUM,1984,264.416372701494,aawhite
HUM,1945,594.80414448565,aawhite
RDL,1999,408.6903125088,redacted
RDL,1950,414.974569574163,aawhite
RDL,1992,521.89534555989,abi
RDL,1954,437.876002318317,aawhite
RDL,1961,512.930741840018,aawhite
RDL,1959,229.650063053296,aawhite
RDL,1964,1070.67580957951,aawhite
RDL,1944,2373.03823030905,aawhite
RDL,1960,612.844988189858,aawhite
RDL,1994,172.240150761186,aawhite
RDL,1978,565.118193541867,redacted
RDL,1934,367.104720252297,aawhite
RDL,1931,345.4298910512,aawhite
RDL,1965,644.901176602966,redacted
RDL,1955,217.26529652443,aawhite
RDL,1972,401.637657680145,aawhite
RDL,1943,220.991100861434,aawhite
RDL,1942,168.663010137499,aawhite
RDL,1960,1222.11930975685,aawhite
RDL,1999,199.116634758294,redacted
RDL,1990,345.805495814208,abi
RDL,1938,974.644906937377,redacted
RDL,2000,255.958802184695,aawhite
RDL,1994,568.826484713151,aawhite
RDL,1952,588.275470266949,aawhite
RDL,1985,597.927600127109,redacted
RDL,1946,823.024134756612,aawhite
RDL,1980,1207.78626407312,redacted
RDL,2000,1387.14954329032,abi
RDL,1939,415.681888130268,aawhite
RDL,1966,179.402493350801,abi
RDL,1954,662.185944233323,aawhite
RDL,1964,479.413810267042,aawhite
RDL,1963,413.370698124605,aawhite
RDL,1967,381.448748453311,aawhite
RDL,1946,479.292901068057,redacted
RDL,1922,1598.97558313591,aawhite
RDL,1999,534.993934067617,redacted
RDL,1994,554.581775231459,abi
RDL,1952,615.466597519449,aawhite
RDL,1991,257.698687260827,redacted
RDL,1958,220.848517207134,aawhite
RDL,1997,661.181539161061,aawhite
RDL,2000,601.204690059347,aawhite
RDL,1997,1254.07504293629,aawhite
RDL,1971,228.159970359365,aawhite
RDL,1951,576.090315828445,aawhite
RDL,1941,1285.34031935744,aawhite
RDL,1945,197.704195104129,redacted
RDL,1944,1327.69728169042,redacted
RDL,1991,296.533975019292,redacted
RDL,1994,411.743339752772,aawhite
RDL,1996,1785.40927547654,aawhite
RDL,1971,170.633604931141,redacted
RDL,1942,518.007021076185,aawhite
RDL,1951,839.743094583361,redacted
RDL,1978,475.044781865751,aawhite
